round,coverage,summary
0,1,"Most ratings indicate low credibility, with only a small portion perceiving strong credibility for this topic."
1,8,"Most credibility ratings are low, with a small fraction perceiving strong regulation as highly credible."
2,10,"The distribution of credibility ratings is skewed toward lower values, with most responses clustered at the lower end."
3,10,"Most respondents rated the credibility of strong tech regulation for user privacy and safety as low, though a minority found it highly credible."
4,10,"Most credibility ratings are low, with only a minority perceiving strong regulation as highly credible for ensuring user privacy and safety."
5,10,"Most ratings clustered at the lower end, but a notable group considered the statement highly credible."
6,10,"The distribution of credibility scores is skewed toward lower values, with most scores falling below the midpoint."
7,10,"Most ratings of credibility are low, with a majority falling at the lower end and only a minority considering the statement highly credible."
8,10,"Most ratings fall on the lower end, with credibility scores generally well below high levels for this topic."
9,10,"Most responses rated the credibility of strong tech regulation as low, with few considering it highly credible."
10,10,"Most ratings for the credibility of this statement are low, with a small proportion viewing it as highly credible."
11,10,"Most respondents rated the credibility of the statement low, with a minority assigning it high credibility."
12,10,"The credibility ratings are generally low, with most responses clustered at the lower end and a minority perceiving high credibility."
13,10,"Credibility ratings for this topic skew low, with half of responses at the bottom end and a minority considering it highly credible."
14,10,"Most ratings of credibility for the statement are low, with a smaller proportion viewing it as highly credible."
15,10,"Most ratings clustered at the lower end, with a minority viewing the statement as highly credible."
16,10,"The distribution of credibility scores is skewed toward lower values, with most responses rating credibility as low."
17,10,"The distribution of credibility is skewed low, with most ratings on the lower end but a notable proportion rating it high."
18,10,"Most participants gave low credibility ratings to the statement, with only a minority assigning high scores."
19,10,"The credibility ratings are generally low, with most responses clustered toward the lower end and only a minority rating it as highly credible."
20,10,"Most credibility ratings cluster at the lower end, though a smaller group finds the claim highly credible."
